Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
Danilo;Cianorte;Londrina;LCMF;22;150000;2023-12-31;1;34;0;0;0;0;;;Brazil;Brazil;esquerdo;175;74;sim;;;;;;;0;;;0;;1;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,72;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
Warley;Sampaio Corrêa;Paraná;LAMF, LDMF, RDMF;22;0;2022-12-31;1;34;0;0,05;0;0;;;Brazil;Brazil;direito;180;80;sim;;;;;;;0;;;18;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,84;53,73;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
João Victor;Guarani;Vitória;LCB;24;250000;2024-12-31;1;38;0;0;0;0;;;Brazil;Brazil;direito;188;80;sim;;;;;;;0;;;5;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,09;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
Morelli;Cianorte;América Mineiro;AMF;24;0;;1;41;0;0;0;0;;;Brazil;Brazil;direito;179;73;sim;;;;;;;0;;;2,14;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,29;0;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
Matheus Bueno;Gil Vicente;Coritiba;RDMF;23;500000;2024-06-30;2;43;0;0;0;0;;;Brazil;Brazil;direito;178;72;sim;;;;;;;0;;;11,25;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,76;10,58;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
Ronald;Botafogo;Botafogo SP;RAMF, RW;24;300000;2023-05-31;2;44;0;0;0;0;;;Brazil;Brazil;direito;162;60;sim;;;;;;;0;;;8,57;;0;;0;;;;0;;;0;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,79;31,14;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0
Bruno Santos;Concórdia;Brasil de Pelotas;LB;34;0;2022-11-14;1;45;0;0,02;0;0;10;40;Brazil;Brazil;esquerdo;175;75;sim;8;4;50;0;0;0;0;0;6;7,5;0;0;0;0;0;2;0;0;0;0,05;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;100;4;50;0;0;2;4;0;0;14;71,43;10;80;0;0;4;50;10;80;4;50;21,68;38,51;0;0;0;0;0;0;0;4;100;0;0;0;0;0;0;6;66,67;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
Tite;Oeste;Oeste;LAMF, RW;19;0;2023-09-18;2;47;0;0,07;0;0;32,55;29,41;Brazil;Brazil;direito;0;0;sim;11,49;15,32;62,5;7,66;0;0;0;0;1,91;3,75;1,91;0;0;0;0;3,83;0;0;0;0,13;0;0;1;1,91;100;0;0;3,83;50;1,91;0;1,91;100;0;0;0;3,83;0;1,91;1,91;0;15,32;0;0;22,98;41,67;7,66;25;3,83;100;3,83;0;17,23;44,44;1,91;0;16,47;30,37;0;0;0;0;0;0;0;1,91;0;5,74;33,33;0;0;0;3,83;3,83;0;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
Marcos Serrato;Criciúma;CRB;AMF;28;150000;2022-12-31;1;47;0;0;0;0;17,23;33,33;Brazil;Brazil;esquerdo;175;75;sim;3,83;3,83;0;0;0;0;0;1,91;3,83;5,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,74;33,33;1,91;0;0;26,81;0;0;34,47;94,44;9,57;80;5,74;100;13,4;100;32,55;94,12;1,91;100;19,78;42,99;0;0;0;0;1,91;0;0;7,66;75;0;0;1,91;0;0;0;1,91;0;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
Cássio Ortega;Tombense;Operário PR;RW, RAMF, LAMF;30;0;;2;48;0;0,08;0;0,05;15;50;Brazil;Brazil;direito;174;69;sim;9,38;7,5;25;0;0;1,88;3,75;0;5,63;11,25;1,88;0;0;0;0;1,88;0;0;0;0,14;0;0;1;1,88;0;0;0;1,88;0;0;0;1,88;0;0;3,75;50;3,75;50;7,5;0;0;24,38;0;1,88;37,5;85;5,63;66,67;16,88;100;3,75;100;35,63;89,47;0;0;12,6;0;0,09;3,75;0;0;0;0;0;0;0;0;0;0;0;0;0;3,75;50;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
